AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng
48,1,45,0,48,36.7167,15.1
156,1,33,0,156,22.23,73.08
27,0,27,0,10,-5.0911,-81.1064
55,1,20,0,55,11.1583,124.9917
76,3,32,2,76,42.9392,126.0561
36,1,2,0,36,-2.9958,-47.3528
41,1,18,1,41,-10.6744,-77.8186
56,1,44,4,56,39.3832,-76.5519
58,1,43,5,58,29.6575,-95.1498
58,1,43,5,58,34.1597,-118.139
58,1,43,5,58,39.1552,-76.5537
45,1,32,7,45,40.011,-82.7155
50,1,41,0,50,52.3,76.95
46,1,46,2,31,40.9,-73.8063
46,1,46,2,31,33.3114,-86.7573
46,1,46,2,31,43.0333,-79.3333
46,1,46,2,31,42.7335,-71.324
77,3,7,8,77,19.562,-97.242
63,1,33,1,63,45.25,19.8667
59,1,27,0,59,7.5,100
35,0,17,0,35,13.1119,99.9458
444,2,111,1,391,31.03,75.78
60,2,60,3,55,31.4044,30.4164
48,1,48,0,12,39.5667,16.6333
32,1,32,0,26,47.2333,39.7
32,1,32,0,26,57.1833,39.4167
56,0,32,1,56,53.566,-2.121
32,1,32,1,30,50.7169,11.3275
29,0,29,2,29,50.9516,14.5571
28,0,19,0,28,-11.0167,33.8667
18,0,8,0,18,-12.2839,-40.4939
40,1,40,2,34,34.5167,135.85
58,0,32,1,58,53.483,-2.2931
30,0,16,1,30,-12.9747,-38.4767
30,0,16,1,30,20.2094,-75.2231
36,1,36,0,30,41.2903,36.3336
49,1,30,0,49,-3.4328,104.2356
32,1,14,1,32,-22.1256,-51.3889
28,1,22,4,28,30.7735,-88.1301
21,1,21,1,13,53.9169,-122.7494
30,1,1,0,30,-8.3833,-74.55
32,1,30,1,32,38.6833,-4.1167
80,1,62,4,80,31.6061,34.7717
182,14,1,23,182,-32.8667,-71.25
356,1,60,0,284,24.82,84.65
62,1,44,5,62,40.6077,-74.2807
226,1,48,1,226,24.955,90.3573
226,1,48,1,226,25.55,82.1
16,0,12,0,16,15.083,-23.632
16,0,12,0,16,-7.0769,-41.4669
30,1,27,2,30,49.2,7.6
55,2,26,12,55,40.5024,-79.7495
46,1,46,0,14,40.2,16.6667
48,1,16,0,48,8.7667,-12.7875
43,1,43,2,39,41.695,-73.9211
52,1,44,4,52,39.3723,-76.8024
36,0,16,0,36,9.9619,98.6389
39,0,39,0,23,52.6,12.3333
58,1,25,9,58,55.7622,37.8567
56,1,21,6,56,32.9716,-96.7093
76,2,15,17,76,37.5295,-77.4756
76,2,15,17,76,49.1667,-123.1333
76,2,15,17,76,37.9477,-122.3389
76,2,15,17,76,-41.3333,173.1833
76,2,15,17,76,39.8318,-84.8905
76,2,15,17,76,37.7307,-84.2925
76,2,15,17,76,51.456,-0.301
76,2,15,17,76,29.5824,-95.7563
76,2,15,17,76,-33.5983,150.7511
76,2,15,17,76,-20.7305,143.1425
25,1,3,0,25,-6.05,-77.1417
40,1,30,1,40,45.8936,3.1125
47,1,47,2,27,41.7833,12.7667
42,1,31,1,42,44.3506,2.575
50,1,23,0,50,12.55,122.28
62,1,18,13,62,37.6862,-122.4685
25,0,9,1,25,-9.3858,-37.9958
34,1,34,0,10,54.15,33.2833
46,1,29,0,46,38.3886,35.4925
39,1,39,0,12,47.3907,35.0027
101,3,18,2,101,6.8167,1.7833
60,1,22,3,60,35.8613,-101.9642
93,1,24,5,93,36.0465,-89.3777
28,1,28,8,25,40.2913,-74.0558
39,1,22,1,39,29.2,-96.2723
44,1,27,10,44,39.2774,-76.8345
42,1,42,0,12,35.4492,137.4128
62,1,32,4,62,45.7,9.2167
35,1,22,6,35,56.198,-3.178
27,1,25,3,27,53.443,-1.949
19,0,18,0,19,-22.4333,18.9667
175,1,51,1,175,24.782,85.6943
33,1,33,1,28,39.52,-0.4114
37,1,3,3,37,-18.0128,-49.3569
30,0,30,2,27,51.5167,5.0667
61,1,10,16,61,25.9129,-80.2013
68,1,39,1,68,40.8667,20.1833
57,2,21,11,57,41.7374,-86.1348
29,1,29,2,27,42.4333,-123.3317
30,1,30,3,25,48.8381,-1.5869
35,1,22,1,35,25.5744,-108.4706
37,1,21,4,37,51.9533,14.7167
76,3,8,1,76,9.9342,13.9486
90,3,46,3,90,25.2819,110.2864
34,1,26,9,34,48.4336,-4.4008
65,1,30,1,65,30.4255,-86.6222
29,0,28,2,29,49.0981,2.5067
37,1,27,8,37,33.6073,-111.7398
72,1,29,3,72,38.6886,-104.6829
169,7,0,21,169,-23.2817,-46.7425
36,1,25,3,36,50.9119,13.3428
46,1,37,2,46,38.926,-78.1838
29,0,29,2,26,48.8039,8.3194
77,1,43,6,77,31.7886,34.7053
53,1,38,2,53,37.0667,14.25
30,0,25,3,30,51.7,5.9667
31,0,30,1,31,52.4,12.1667
27,0,19,0,27,6.8058,-58.1508
27,0,19,0,27,-7.9286,-14.4119
27,0,19,0,27,30.666,-97.6966
27,0,19,0,27,38.2247,-84.5487
27,0,19,0,27,31.9849,-81.226
27,0,19,0,27,-18.3,143.55
30,0,28,2,30,50.8806,12.0833
25,0,24,2,25,29.0516,-95.4521
57,2,22,14,57,30.1356,-81.7674
57,2,22,14,57,32.856,-116.904
57,2,22,14,57,37.6132,-77.4768
66,1,28,1,66,13.9297,100.7375
33,0,33,1,26,52.1333,5.4333
37,1,12,13,37,50.8747,0.0117
50,1,20,0,50,8.633,126.0932
46,1,26,2,46,44.92,-0.24
49,1,24,2,49,49.7012,17.0762
31,0,31,2,31,51.1,3.9833
34,0,29,3,34,51,4.3
176,2,21,3,176,15.6167,-16.2167
35,1,20,3,35,51.4,16.2
32,1,32,1,28,51.25,22.5667
32,1,29,0,32,13.9333,121.6167
32,1,29,0,32,37.4,-4.4833
32,1,29,0,32,10.8833,122.6
32,1,29,0,32,-6.9,-34.8689
117,4,14,7,117,-29.8167,27.25
56,1,25,2,56,33.2775,-93.2261
171,1,36,0,171,24.262,80.761
53,1,18,14,53,28.6295,-81.3718
53,1,18,14,53,-32.7167,151.55
40,1,26,3,40,48.8169,2.2944
34,1,18,1,34,11.8667,3.3833
69,1,22,6,69,45.8,8.8833
74,2,23,1,74,-7.2947,27.4545
118,1,17,4,118,10.6333,-71.6333
30,0,30,1,25,51.3667,7.4833
35,0,28,2,35,50.7836,3.1256
34,0,28,2,34,53.55,10
34,0,28,2,34,42.7394,-78.8581
73,2,35,8,73,32.9302,-80.0027
40,1,40,1,24,41.9333,25.9
500,1,43,0,443,29.613,73.1409
28,0,27,2,28,51.3992,7.1858
52,1,27,12,52,40.8211,-73.2109
70,2,20,20,70,37.6328,-122.0766
33,0,33,0,5,61.2,26.0333
59,1,59,1,23,34.8847,136.9934
30,0,30,1,24,49.5903,8.6564
169,4,169,3,150,26.8968,112.5857
61,1,27,11,61,40.7452,-74.0281
61,1,27,11,61,51.1667,4.3667
58,0,21,0,58,5.3514,48.5256
18,0,18,0,6,-9.4319,159.9556
20,0,20,0,20,-23.3442,-57.0436
31,0,31,0,30,40.5,44.7667
138,3,138,2,112,24.8167,120.9833
39,1,19,1,39,-11.1,-77.6
44,0,17,0,44,-18.3647,26.5
74,1,74,1,35,35.4981,140.1154
95,0,22,0,95,17.7189,73.3969
40,1,30,8,40,55.8892,37.445
75,1,37,1,75,48.5078,26.486
64,1,41,0,64,36.7167,37.1167
40,0,21,1,40,31.0753,-97.7297
59,1,30,3,59,48.3042,16.3167
48,1,48,0,35,44.0414,16.1986
104,0,22,0,104,-4.35,152.2736
30,1,30,0,10,22.43,87.87
30,1,30,0,10,68.8833,33.0833
39,1,39,0,20,47.6333,43.15
59,2,6,0,59,8.91,17.55
29,1,28,0,29,60.4167,57.1
34,1,34,1,24,46.5331,48.3456
34,1,34,1,24,53.3239,69.2525
36,1,26,2,36,50.2411,11.3281
30,0,30,1,27,50.1833,8.5
48,1,33,1,48,55.4167,42.5333
33,1,33,0,9,42.9833,144.3833
33,1,33,0,9,42.9961,144.4661
37,1,8,3,37,20.2833,-102.5667
60,1,30,6,60,43.1497,6.0742
55,2,5,4,55,15.05,-88.7333
58,2,14,19,58,32.711,-117.0027
41,0,28,2,41,52.2667,10.1833
31,1,15,1,31,-28.24,-48.67
24,1,8,0,24,-25.23,-50.6044
78,1,78,3,51,35.6379,139.5046
43,1,43,0,30,39.7167,2.9167
150,1,30,0,150,22.7167,75.8472
31,1,31,2,25,57.28,-2.38
116,2,116,0,64,24.3406,124.1556
36,1,17,3,36,15.3392,120.9069
95,2,9,9,95,19.9519,-99.5328
95,2,9,9,95,19.6113,-96.9224
171,6,10,3,171,-2.9022,30.4986
32,1,32,0,24,64.2311,27.7194
59,1,32,0,59,12.7691,79.4196
24,1,24,0,19,57.2333,37.8833
78,1,36,1,78,49.4472,28.5231
59,1,27,0,59,10.6,104.1667
30,1,30,2,14,61.4639,24.065
84,1,40,1,84,10.4587,79.141
75,1,75,1,34,35.8077,139.7241
54,1,6,14,54,40.6519,-112.0095
39,1,23,5,39,51.0031,4.6311
36,0,20,1,36,30.0398,-99.132
53,1,31,6,53,52.3931,-0.7229
53,1,31,6,53,39.6956,-84.1494
53,1,31,6,53,38.8888,-76.7889
112,1,29,2,112,17.2473,80.1514
130,0,31,0,130,21.82,76.35
40,1,40,2,23,42.9167,12.3333
59,1,37,6,59,43.2964,5.37
29,1,29,2,17,41.6178,-70.4908
62,2,17,0,62,1.6836,31.7222
65,2,23,1,65,13,15.7333
78,1,31,0,78,11.1286,123.9622
56,1,25,1,56,20.1444,-77.4361
121,4,7,8,121,4.2039,-74.6428
14,1,14,0,3,-33.25,-58.0333
14,1,14,0,3,-34.65,-59.4333
14,1,14,0,3,14.1093,123.0109
14,1,14,0,3,-29.2,-58.0833
14,1,14,0,3,26.1533,-97.9128
95,1,23,10,95,39.0186,-94.6933
52,1,33,3,52,45.182,-89.6994
34,0,34,2,32,51.75,4.17
72,1,42,1,72,37.4167,41.3697
47,1,7,1,47,-4.1658,-42.895
22,0,19,0,22,-34.3667,-55.2333
22,0,19,0,22,21.4894,-77.605
41,0,11,0,41,-9.5289,-48.59
159,2,134,1,159,30.822,75.174
89,2,33,5,89,45.5619,12.2364
32,1,32,2,32,44.0181,1.3558
40,1,29,3,40,51.1667,4.4667
30,1,19,4,30,55.7558,37.6178
30,1,19,4,30,46.7308,-116.9986
73,0,24,0,73,18.9667,77.9167
73,0,24,0,73,15.6406,75.9531
73,0,24,0,73,16.35,75.2833
59,1,21,1,59,20.48,-89.72
92,2,34,1,92,21.3472,-97.6833
52,1,40,0,52,45.3531,26.305
33,0,33,0,32,49.35,8.15
33,0,33,0,32,49.5967,10.6089
33,0,33,0,32,51.0239,14.2167
33,0,33,0,32,50.85,9.1167
33,0,33,0,32,50.7333,11.75
54,2,30,11,54,41.5095,-87.9703
31,0,31,2,21,54.983,-1.743
50,1,22,7,50,51.401,-1.323
53,1,36,1,53,47.0833,28.1833
44,1,44,1,16,35.132,137.0394
37,1,35,0,37,56.6667,59.3167
54,1,30,3,54,49.5867,7.1428
163,0,25,0,163,13.1578,-61.225
40,1,7,6,40,42.2195,-121.7754
101,1,62,0,101,33.5833,71.4333
160,1,45,0,160,41.7259,86.1746
89,1,39,0,89,50.3186,29.0592
56,1,13,0,56,10.653,-9.892
74,1,8,13,74,39.5915,-105.0188
74,1,8,13,74,42.535,-71.4891
48,1,48,3,36,40.3919,17.4483
12,0,12,0,11,-18.4167,-66.5833
42,1,28,10,42,39.3461,-76.7307
27,1,27,4,19,60.25,24.0667
15,0,15,0,10,19.6742,97.2092
82,1,42,2,82,45.6,8.75
67,2,10,8,67,-37.0833,-73.1667
40,1,14,0,40,-14.9167,13.5
90,4,20,0,90,-5.35,21.4167
43,2,21,0,43,25.75,93.17
500,1,42,0,435,28.28,76.15
55,1,29,0,55,38.3486,38.3194
25,0,15,0,25,7.2108,126.5328
75,3,15,1,75,-26.4833,31.3667
37,1,37,0,13,48.3,39.7333
50,0,21,0,50,13.0232,77.0252
34,1,17,3,34,38.2667,-3.6167
49,1,30,5,49,41.6804,2.2833
53,1,26,7,53,41.5156,2.1928
72,1,7,14,72,28.9241,-81.9299
48,1,15,0,48,5.03,118.34
43,1,25,4,43,50.8925,5.6497
41,1,26,4,41,48.7325,-3.4553
40,1,40,2,20,41.6833,12.7
61,1,8,4,61,16.3667,-91.7333
42,1,28,4,42,50.9667,3.9833
67,1,36,3,67,37.2833,15
30,1,30,3,22,42.5209,-71.7717
30,1,30,3,22,52.2282,-2.7385
50,1,14,3,50,10.7808,122.3894
52,1,36,1,52,43.3667,25.1333
58,1,28,2,58,24.0515,105.0573
58,1,14,10,58,26.2785,-80.0891
33,0,19,0,33,-13.9833,33.7833
138,4,25,4,138,12,8.5167
36,1,36,0,33,55.4833,60.2167
169,1,36,0,169,22.9153,79.0638
49,1,31,6,49,44.2773,-88.2641
23,1,23,6,18,60.4,25.1
63,1,24,3,63,51.05,16.2
31,1,31,1,21,47.9822,3.3972
34,0,34,1,31,53.5344,9.6817
36,0,16,0,36,-15.7667,28.1833
49,1,25,11,49,47.7921,-122.3077
59,2,16,4,59,33.1667,-5.5667
180,2,151,1,180,30.4743,74.5166
27,0,27,0,13,53.5224,-7.3378
194,3,176,2,194,30.1978,71.4697
74,2,17,1,74,5.2625,-0.7578
35,1,35,1,13,38.4833,140.3833
29,1,29,2,20,37.9861,-1.1303
29,1,29,2,20,10.6,123.0333
54,0,25,0,54,10.9333,78.45
58,2,18,21,58,42.886,-88.1291
42,0,35,1,42,52.2953,5.1622
30,0,27,0,30,21.3892,-158.1445
206,7,206,9,167,31.9829,120.8873
51,1,22,5,51,50.2944,4.1014
157,3,157,1,126,32.02,75.15
87,1,36,0,87,7.9667,123.75
32,0,16,0,32,9.95,99.0667
55,1,38,2,55,44.3167,9.3333
45,1,22,5,45,29.4874,-95.1087
55,1,40,1,55,50.5831,34.4823
114,3,8,37,114,33.938,-118.3586
50,1,31,1,50,48.2164,18.6081
13,0,13,1,12,-40.6219,175.2867
33,1,33,2,30,50.3833,8.0667
38,0,38,1,19,57.5667,12.1
33,1,33,2,23,45.6167,9.25
47,1,21,2,47,29.8785,-97.6831
47,1,21,2,47,28.627,-81.4354
33,1,33,2,29,50.8167,7.2167
99,4,99,5,97,27.7378,111.9974
66,1,22,0,66,-11.7918,19.9062
52,1,28,1,52,52.7819,28.0525
70,1,23,2,70,53.8667,34.4333
38,1,27,4,38,51.9333,4.2333
32,1,14,0,32,8.5504,-9.48
72,3,0,10,72,42.3666,-89.0266
29,0,28,1,29,48.65,11.7833
67,1,36,0,67,-7.98,112.62
54,1,22,0,54,10.958,123.123
49,1,49,0,36,41.6333,15.9167
32,1,32,1,15,37.2,-3.6333
17,0,16,0,17,7.5783,123.1659
33,1,33,0,10,58.3078,48.3181
44,1,44,4,31,45.0333,38.9667
61,1,24,10,61,55.8217,37.3386
61,1,24,10,61,48.4172,142.0869
25,1,25,0,19,58.0833,55.6833
52,0,34,1,52,58.1472,7.9972
31,1,31,0,31,54.9167,64.4333
38,1,23,3,38,50.8519,3.2861
38,1,23,3,38,50.6558,3.071
52,1,6,5,52,20.3333,-102.0167
48,1,48,2,34,41.9544,12.0742
40,0,29,1,40,39.75,-8.9333
39,1,39,4,38,35.6167,-5.2667
34,1,25,0,34,-8.5833,116.1167
111,2,42,8,111,39.5503,116.1063
77,2,10,27,77,41.5095,-87.7468
52,1,6,1,52,-17.3739,-40.2208
44,1,33,3,44,45.3588,9.3238
37,1,37,1,30,50,8.7
39,0,31,1,39,53.3024,-1.4664
179,3,102,4,179,22.64,88.22
51,1,27,2,51,47.3539,19.0948
36,0,27,3,36,51.13,0
50,0,29,1,50,51.78,-3.21
51,1,28,9,51,42.2489,-83.1399
79,3,5,9,79,13.7167,-88.9
79,3,5,9,79,13.35,-88
79,3,5,9,79,8.5128,-73.4508
99,3,11,11,99,14.7667,-91.8167
24,1,24,2,17,40.8381,-115.7678
32,1,32,2,26,53.7519,9.6511
29,1,29,2,23,47.2018,-121.9897
81,1,34,0,81,49.0278,104.0444
74,0,40,0,74,39.9086,41.2769
130,1,30,0,130,43.35,77.4667
55,2,1,3,55,-3.9019,-42.2339
55,2,1,3,55,-5.3428,-48.5108
